PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
"Hardness, Ca (as CaCO3)",1,mg/L,NA,NA,NA
"Hardness, Mg (as CaCO3)",1,mg/L,NA,NA,NA
"Hardness, Total (as CaCO3)",1,mg/L,NA,NA,NA
Heptachlor,2,ug/L,pg/L,NA,NA
Heptachlor Epoxide,2,ug/L,pg/L,NA,NA
Hexachlorobenzene,2,ug/L,pg/L,NA,NA
Hexachlorobutadiene,1,ug/L,NA,NA,NA
Hexachlorocyclopentadiene,1,ug/L,NA,NA,NA
Hexachloroethane,1,ug/L,NA,NA,NA
"Hydrocarbons, Total Petroleum",2,mg/L,ug/L,NA,NA
"Indeno (1,2,3-cd) Pyrene",1,ug/L,NA,NA,NA
"Iron, Dissolved",2,mg/L,ug/L,NA,NA
"Iron, Total",2,mg/L,ug/L,NA,NA
"Iron, Total Recoverable",2,mg/L,ug/L,NA,NA
Isophorone,1,ug/L,NA,NA,NA
Isopropanol,1,mg/L,NA,NA,NA
Isopropyl Ether,1,ug/L,NA,NA,NA
Isopropylbenzene,1,ug/L,NA,NA,NA
Jet Fuel,1,mg/L,NA,NA,NA
"Lead, Dissolved",2,mg/L,ug/L,NA,NA
"Lead, Total",2,mg/L,ug/L,NA,NA
"Lead, Total Recoverable",2,mg/L,ug/L,NA,NA
"m,p-Xylenes",1,ug/L,NA,NA,NA
"Magnesium, Dissolved",1,mg/L,NA,NA,NA
"Magnesium, Total",1,mg/L,NA,NA,NA
"Magnesium, Total Recoverable",1,mg/L,NA,NA,NA
"Manganese, Dissolved",1,mg/L,NA,NA,NA
"Manganese, Total",1,mg/L,NA,NA,NA
"Manganese, Total Recoverable",1,mg/L,NA,NA,NA
"Mercury, Dissolved",3,ug/L,mg/L,ng/L,NA
"Mercury, Total",3,ug/L,mg/L,ng/L,NA
"Mercury, Total Recoverable",2,ug/L,mg/L,NA,NA
Methanol,1,mg/L,NA,NA,NA
Methoxychlor,2,ug/L,pg/L,NA,NA
Methyl Bromide,1,ug/L,NA,NA,NA
Methyl Chloride,1,ug/L,NA,NA,NA
Methyl Ethyl Ketone,2,ug/L,mg/L,NA,NA
Methyl Parathion,1,ug/L,NA,NA,NA
Methyl Tert-butyl Ether (MTBE),1,ug/L,NA,NA,NA
Methylene Blue Active Substances (MBAS),1,mg/L,NA,NA,NA
Methylene Chloride,1,ug/L,NA,NA,NA
Mirex,2,pg/L,ug/L,NA,NA
"Molybdenum, Dissolved",2,ug/L,mg/L,NA,NA
"Molybdenum, Total",2,mg/L,ug/L,NA,NA
"Molybdenum, Total Recoverable",2,mg/L,ug/L,NA,NA
Motor Oil,1,mg/L,NA,NA,NA
n-Butylbenzene,1,ug/L,NA,NA,NA
N-Nitrosodi-n-Propylamine,1,ug/L,NA,NA,NA
N-Nitrosodiethylamine,2,mg/L,ug/L,NA,NA
N-Nitrosodimethylamine,1,ug/L,NA,NA,NA
N-Nitrosodiphenylamine,1,ug/L,NA,NA,NA
n-Propylbenzene,1,ug/L,NA,NA,NA
n-Tetracosane,1,ug/L,NA,NA,NA
Naphthalene,1,ug/L,NA,NA,NA
"Nickel, Dissolved",2,mg/L,ug/L,NA,NA
"Nickel, Total",2,mg/L,ug/L,NA,NA
"Nickel, Total Recoverable",2,ug/L,mg/L,NA,NA
"Nitrate, Total (as N)",1,mg/L,NA,NA,NA
"Nitrate, Total (as NO3)",1,mg/L,NA,NA,NA
Nitrite Plus Nitrate (as N),2,mg/L,ug/L,NA,NA
"Nitrite, Total (as N)",1,mg/L,NA,NA,NA
"Nitrite, Total (as NO2)",1,mg/L,NA,NA,NA
Nitrobenzene,1,ug/L,NA,NA,NA
Nitrobenzene-d5,1,ug/L,NA,NA,NA
"Nitrogen, Total (as N)",1,mg/L,NA,NA,NA
